source,target,from,to
109297,109297,en,ja
109298,109298,en,ja
109299,109299,en,ja
1093,1093,en,ja
10930,10930,en,ja
109300,109300,en,ja
109301,109301,en,ja
109302,109302,en,ja
109303,109303,en,ja
109304,109304,en,ja
109305,109305,en,ja
109306,109306,en,ja
109307,109307,en,ja
109308,109308,en,ja
109309,109309,en,ja
10931,10931,en,ja
109310,109310,en,ja
109311,109311,en,ja
109312,109312,en,ja
109313,109313,en,ja
109314,109314,en,ja
109315,109315,en,ja
109316,109316,en,ja
109317,109317,en,ja
109318,109318,en,ja
109319,109319,en,ja
10932,10932,en,ja
109320,109320,en,ja
109321,109321,en,ja
109322,109322,en,ja
109323,109323,en,ja
109324,109324,en,ja
109325,109325,en,ja
109326,109326,en,ja
109327,109327,en,ja
109328,109328,en,ja
109329,109329,en,ja
10933,10933,en,ja
109330,109330,en,ja
109331,109331,en,ja
109332,109332,en,ja
109333,109333,en,ja
109334,109334,en,ja
109335,109335,en,ja
109336,109336,en,ja
109337,109337,en,ja
109338,109338,en,ja
109339,109339,en,ja
10934,10934,en,ja
109340,109340,en,ja
109341,109341,en,ja
109342,109342,en,ja
109343,109343,en,ja
109344,109344,en,ja
109345,109345,en,ja
109346,109346,en,ja
109347,109347,en,ja
109348,109348,en,ja
109349,109349,en,ja
10935,10935,en,ja
109350,109350,en,ja
109351,109351,en,ja
109352,109352,en,ja
109353,109353,en,ja
109354,109354,en,ja
109355,109355,en,ja
109356,109356,en,ja
109357,109357,en,ja
109358,109358,en,ja
109359,109359,en,ja
10936,10936,en,ja
109360,109360,en,ja
109361,109361,en,ja
109362,109362,en,ja
109363,109363,en,ja
109364,109364,en,ja
109365,109365,en,ja
109366,109366,en,ja
109367,109367,en,ja
109368,109368,en,ja
109369,109369,en,ja
10937,10937,en,ja
109370,109370,en,ja
109371,109371,en,ja
109372,109372,en,ja
109373,109373,en,ja
109374,109374,en,ja
109375,109375,en,ja
109376,109376,en,ja
109377,109377,en,ja
109378,109378,en,ja
109379,109379,en,ja
10938,10938,en,ja
109380,109380,en,ja
109381,109381,en,ja
109382,109382,en,ja
109383,109383,en,ja
109384,109384,en,ja
109385,109385,en,ja
109386,109386,en,ja
109387,109387,en,ja
109388,109388,en,ja
109389,109389,en,ja
10939,10939,en,ja
109390,109390,en,ja
109391,109391,en,ja
109392,109392,en,ja
109393,109393,en,ja
109394,109394,en,ja
109395,109395,en,ja
109396,109396,en,ja
109397,109397,en,ja
109398,109398,en,ja
109399,109399,en,ja
1094,1094,en,ja
10940,10940,en,ja
109400,109400,en,ja
109401,109401,en,ja
109402,109402,en,ja
109403,109403,en,ja
109404,109404,en,ja
109405,109405,en,ja
109406,109406,en,ja
109407,109407,en,ja
109408,109408,en,ja
109409,109409,en,ja
10941,10941,en,ja
109410,109410,en,ja
109411,109411,en,ja
109412,109412,en,ja
109413,109413,en,ja
109414,109414,en,ja
109415,109415,en,ja
109416,109416,en,ja
109417,109417,en,ja
109418,109418,en,ja
109419,109419,en,ja
10942,10942,en,ja
109420,109420,en,ja
109421,109421,en,ja
109422,109422,en,ja
109423,109423,en,ja
109424,109424,en,ja
109425,109425,en,ja
109426,109426,en,ja
109427,109427,en,ja
109428,109428,en,ja
109429,109429,en,ja
10943,10943,en,ja
109430,109430,en,ja
109431,109431,en,ja
109432,109432,en,ja
109433,109433,en,ja
109434,109434,en,ja
109435,109435,en,ja
109436,109436,en,ja
109437,109437,en,ja
109438,109438,en,ja
109439,109439,en,ja
10944,10944,en,ja
109440,109440,en,ja
109441,109441,en,ja
109442,109442,en,ja
109443,109443,en,ja
109444,109444,en,ja
109445,109445,en,ja
109446,109446,en,ja
109447,109447,en,ja
109448,109448,en,ja
109449,109449,en,ja
10945,10945,en,ja
109450,109450,en,ja
109451,109451,en,ja
109452,109452,en,ja
109453,109453,en,ja
109454,109454,en,ja
109455,109455,en,ja
109456,109456,en,ja
109457,109457,en,ja
109458,109458,en,ja
109459,109459,en,ja
10946,10946,en,ja
109460,109460,en,ja
109461,109461,en,ja
109462,109462,en,ja
109463,109463,en,ja
109464,109464,en,ja
109465,109465,en,ja
109466,109466,en,ja
109467,109467,en,ja
109468,109468,en,ja
109469,109469,en,ja
10947,10947,en,ja
109470,109470,en,ja
109471,109471,en,ja
109472,109472,en,ja
109473,109473,en,ja
109474,109474,en,ja
109475,109475,en,ja
109476,109476,en,ja
109477,109477,en,ja
109478,109478,en,ja
109479,109479,en,ja
10948,10948,en,ja
109480,109480,en,ja
109481,109481,en,ja
109482,109482,en,ja
109483,109483,en,ja
109484,109484,en,ja
109485,109485,en,ja
109486,109486,en,ja
109487,109487,en,ja
109488,109488,en,ja
109489,109489,en,ja
10949,10949,en,ja
109490,109490,en,ja
109491,109491,en,ja
109492,109492,en,ja
109493,109493,en,ja
109494,109494,en,ja
109495,109495,en,ja
109496,109496,en,ja
109497,109497,en,ja
109498,109498,en,ja
109499,109499,en,ja
1095,1095,en,ja
10950,10950,en,ja
109500,109500,en,ja
109501,109501,en,ja
109502,109502,en,ja
109503,109503,en,ja
109504,109504,en,ja
109505,109505,en,ja
109506,109506,en,ja
109507,109507,en,ja
109508,109508,en,ja
109509,109509,en,ja
10951,10951,en,ja
109510,109510,en,ja
109511,109511,en,ja
109512,109512,en,ja
109513,109513,en,ja
109514,109514,en,ja
109515,109515,en,ja
109516,109516,en,ja
109517,109517,en,ja
109518,109518,en,ja
109519,109519,en,ja
10952,10952,en,ja
109520,109520,en,ja
109521,109521,en,ja
109522,109522,en,ja
109523,109523,en,ja
109524,109524,en,ja
109525,109525,en,ja
109526,109526,en,ja
109527,109527,en,ja
109528,109528,en,ja
109529,109529,en,ja
10953,10953,en,ja
109530,109530,en,ja
109531,109531,en,ja
109532,109532,en,ja
109533,109533,en,ja
109534,109534,en,ja
109535,109535,en,ja
109536,109536,en,ja
109537,109537,en,ja
109538,109538,en,ja
109539,109539,en,ja
10954,10954,en,ja
109540,109540,en,ja
109541,109541,en,ja
109542,109542,en,ja
109543,109543,en,ja
109544,109544,en,ja
109545,109545,en,ja
109546,109546,en,ja
109547,109547,en,ja
109548,109548,en,ja
109549,109549,en,ja
10955,10955,en,ja
109550,109550,en,ja
109551,109551,en,ja
109552,109552,en,ja
109553,109553,en,ja
109554,109554,en,ja
109555,109555,en,ja
109556,109556,en,ja
109557,109557,en,ja
109558,109558,en,ja
109559,109559,en,ja
10956,10956,en,ja
109560,109560,en,ja
109561,109561,en,ja
109562,109562,en,ja
109563,109563,en,ja
109564,109564,en,ja
109565,109565,en,ja
109566,109566,en,ja
109567,109567,en,ja
109568,109568,en,ja
109569,109569,en,ja
10957,10957,en,ja
109570,109570,en,ja
109571,109571,en,ja
109572,109572,en,ja
109573,109573,en,ja
109574,109574,en,ja
109575,109575,en,ja
109576,109576,en,ja
109577,109577,en,ja
109578,109578,en,ja
109579,109579,en,ja
10958,10958,en,ja
109580,109580,en,ja
109581,109581,en,ja
109582,109582,en,ja
109583,109583,en,ja
109584,109584,en,ja
109585,109585,en,ja
109586,109586,en,ja
109587,109587,en,ja
109588,109588,en,ja
109589,109589,en,ja
10959,10959,en,ja
109590,109590,en,ja
109591,109591,en,ja
109592,109592,en,ja
109593,109593,en,ja
109594,109594,en,ja
109595,109595,en,ja
109596,109596,en,ja
109597,109597,en,ja
109598,109598,en,ja
109599,109599,en,ja
1096,1096,en,ja
10960,10960,en,ja
109600,109600,en,ja
109601,109601,en,ja
109602,109602,en,ja
109603,109603,en,ja
109604,109604,en,ja
109605,109605,en,ja
109606,109606,en,ja
109607,109607,en,ja
109608,109608,en,ja
109609,109609,en,ja
10961,10961,en,ja
109610,109610,en,ja
109611,109611,en,ja
109612,109612,en,ja
109613,109613,en,ja
109614,109614,en,ja
109615,109615,en,ja
109616,109616,en,ja
109617,109617,en,ja
109618,109618,en,ja
109619,109619,en,ja
10962,10962,en,ja
109620,109620,en,ja
109621,109621,en,ja
109622,109622,en,ja
109623,109623,en,ja
109624,109624,en,ja
109625,109625,en,ja
109626,109626,en,ja
109627,109627,en,ja
109628,109628,en,ja
109629,109629,en,ja
10963,10963,en,ja
109630,109630,en,ja
109631,109631,en,ja
109632,109632,en,ja
109633,109633,en,ja
109634,109634,en,ja
109635,109635,en,ja
109636,109636,en,ja
109637,109637,en,ja
109638,109638,en,ja
109639,109639,en,ja
10964,10964,en,ja
109640,109640,en,ja
109641,109641,en,ja
109642,109642,en,ja
109643,109643,en,ja
109644,109644,en,ja
109645,109645,en,ja
109646,109646,en,ja
109647,109647,en,ja
109648,109648,en,ja
109649,109649,en,ja
10965,10965,en,ja
109650,109650,en,ja
109651,109651,en,ja
109652,109652,en,ja
109653,109653,en,ja
109654,109654,en,ja
109655,109655,en,ja
109656,109656,en,ja
109657,109657,en,ja
109658,109658,en,ja
109659,109659,en,ja
10966,10966,en,ja
109660,109660,en,ja
109661,109661,en,ja
109662,109662,en,ja
109663,109663,en,ja
109664,109664,en,ja
109665,109665,en,ja
109666,109666,en,ja
109667,109667,en,ja
109668,109668,en,ja
109669,109669,en,ja
10967,10967,en,ja
109670,109670,en,ja
109671,109671,en,ja
109672,109672,en,ja
109673,109673,en,ja
109674,109674,en,ja
109675,109675,en,ja
109676,109676,en,ja
109677,109677,en,ja
109678,109678,en,ja
109679,109679,en,ja
10968,10968,en,ja
109680,109680,en,ja
109681,109681,en,ja
109682,109682,en,ja
109683,109683,en,ja
109684,109684,en,ja
109685,109685,en,ja
109686,109686,en,ja
109687,109687,en,ja
109688,109688,en,ja
109689,109689,en,ja
10969,10969,en,ja
109690,109690,en,ja
109691,109691,en,ja
109692,109692,en,ja
109693,109693,en,ja
109694,109694,en,ja
109695,109695,en,ja
109696,109696,en,ja
109697,109697,en,ja
109698,109698,en,ja
109699,109699,en,ja
1097,1097,en,ja
10970,10970,en,ja
109700,109700,en,ja
109701,109701,en,ja
109702,109702,en,ja
109703,109703,en,ja
109704,109704,en,ja
109705,109705,en,ja
109706,109706,en,ja
109707,109707,en,ja
109708,109708,en,ja
109709,109709,en,ja
10971,10971,en,ja
109710,109710,en,ja
109711,109711,en,ja
109712,109712,en,ja
109713,109713,en,ja
109714,109714,en,ja
109715,109715,en,ja
109716,109716,en,ja
109717,109717,en,ja
109718,109718,en,ja
109719,109719,en,ja
10972,10972,en,ja
109720,109720,en,ja
109721,109721,en,ja
109722,109722,en,ja
109723,109723,en,ja
109724,109724,en,ja
109725,109725,en,ja
109726,109726,en,ja
109727,109727,en,ja
109728,109728,en,ja
109729,109729,en,ja
10973,10973,en,ja
109730,109730,en,ja
109731,109731,en,ja
109732,109732,en,ja
109733,109733,en,ja
109734,109734,en,ja
109735,109735,en,ja
109736,109736,en,ja
109737,109737,en,ja
109738,109738,en,ja
109739,109739,en,ja
10974,10974,en,ja
109740,109740,en,ja
109741,109741,en,ja
109742,109742,en,ja
109743,109743,en,ja
109744,109744,en,ja
109745,109745,en,ja
109746,109746,en,ja
109747,109747,en,ja
109748,109748,en,ja
109749,109749,en,ja
10975,10975,en,ja
109750,109750,en,ja
109751,109751,en,ja
109752,109752,en,ja
109753,109753,en,ja
109754,109754,en,ja
109755,109755,en,ja
109756,109756,en,ja
109757,109757,en,ja
109758,109758,en,ja
109759,109759,en,ja
10976,10976,en,ja
109760,109760,en,ja
109761,109761,en,ja
109762,109762,en,ja
109763,109763,en,ja
109764,109764,en,ja
109765,109765,en,ja
109766,109766,en,ja
109767,109767,en,ja
109768,109768,en,ja
109769,109769,en,ja
10977,10977,en,ja
109770,109770,en,ja
109771,109771,en,ja
109772,109772,en,ja
109773,109773,en,ja
109774,109774,en,ja
109775,109775,en,ja
109776,109776,en,ja
109777,109777,en,ja
109778,109778,en,ja
109779,109779,en,ja
10978,10978,en,ja
109780,109780,en,ja
109781,109781,en,ja
109782,109782,en,ja
109783,109783,en,ja
109784,109784,en,ja
109785,109785,en,ja
109786,109786,en,ja
109787,109787,en,ja
109788,109788,en,ja
109789,109789,en,ja
10979,10979,en,ja
109790,109790,en,ja
109791,109791,en,ja
109792,109792,en,ja
109793,109793,en,ja
109794,109794,en,ja
109795,109795,en,ja
109796,109796,en,ja
109797,109797,en,ja
109798,109798,en,ja
109799,109799,en,ja
1098,1098,en,ja
10980,10980,en,ja
109800,109800,en,ja
109801,109801,en,ja
109802,109802,en,ja
109803,109803,en,ja
109804,109804,en,ja
109805,109805,en,ja
109806,109806,en,ja
109807,109807,en,ja
109808,109808,en,ja
109809,109809,en,ja
10981,10981,en,ja
109810,109810,en,ja
109811,109811,en,ja
109812,109812,en,ja
109813,109813,en,ja
109814,109814,en,ja
109815,109815,en,ja
109816,109816,en,ja
109817,109817,en,ja
109818,109818,en,ja
109819,109819,en,ja
10982,10982,en,ja
109820,109820,en,ja
109821,109821,en,ja
109822,109822,en,ja
109823,109823,en,ja
109824,109824,en,ja
109825,109825,en,ja
109826,109826,en,ja
109827,109827,en,ja
109828,109828,en,ja
109829,109829,en,ja
10983,10983,en,ja
109830,109830,en,ja
109831,109831,en,ja
109832,109832,en,ja
109833,109833,en,ja
109834,109834,en,ja
109835,109835,en,ja
109836,109836,en,ja
109837,109837,en,ja
109838,109838,en,ja
109839,109839,en,ja
10984,10984,en,ja
109840,109840,en,ja
109841,109841,en,ja
109842,109842,en,ja
109843,109843,en,ja
109844,109844,en,ja
109845,109845,en,ja
109846,109846,en,ja
109847,109847,en,ja
109848,109848,en,ja
109849,109849,en,ja
10985,10985,en,ja
109850,109850,en,ja
109851,109851,en,ja
109852,109852,en,ja
109853,109853,en,ja
109854,109854,en,ja
109855,109855,en,ja
109856,109856,en,ja
109857,109857,en,ja
109858,109858,en,ja
109859,109859,en,ja
10986,10986,en,ja
109860,109860,en,ja
109861,109861,en,ja
109862,109862,en,ja
109863,109863,en,ja
109864,109864,en,ja
109865,109865,en,ja
109866,109866,en,ja
109867,109867,en,ja
109868,109868,en,ja
109869,109869,en,ja
10987,10987,en,ja
109870,109870,en,ja
109871,109871,en,ja
109872,109872,en,ja
109873,109873,en,ja
109874,109874,en,ja
109875,109875,en,ja
109876,109876,en,ja
109877,109877,en,ja
109878,109878,en,ja
109879,109879,en,ja
10988,10988,en,ja
109880,109880,en,ja
109881,109881,en,ja
109882,109882,en,ja
109883,109883,en,ja
109884,109884,en,ja
109885,109885,en,ja
109886,109886,en,ja
109887,109887,en,ja
109888,109888,en,ja
109889,109889,en,ja
10989,10989,en,ja
109890,109890,en,ja
109891,109891,en,ja
109892,109892,en,ja
109893,109893,en,ja
109894,109894,en,ja
109895,109895,en,ja
109896,109896,en,ja
109897,109897,en,ja
109898,109898,en,ja
109899,109899,en,ja
1099,1099,en,ja
10990,10990,en,ja
109900,109900,en,ja
109901,109901,en,ja
109902,109902,en,ja
109903,109903,en,ja
109904,109904,en,ja
109905,109905,en,ja
109906,109906,en,ja
109907,109907,en,ja
109908,109908,en,ja
109909,109909,en,ja
10991,10991,en,ja
109910,109910,en,ja
109911,109911,en,ja
109912,109912,en,ja
109913,109913,en,ja
109914,109914,en,ja
109915,109915,en,ja
109916,109916,en,ja
109917,109917,en,ja
109918,109918,en,ja
109919,109919,en,ja
10992,10992,en,ja
109920,109920,en,ja
109921,109921,en,ja
109922,109922,en,ja
109923,109923,en,ja
109924,109924,en,ja
109925,109925,en,ja
109926,109926,en,ja
109927,109927,en,ja
109928,109928,en,ja
109929,109929,en,ja
10993,10993,en,ja
109930,109930,en,ja
109931,109931,en,ja
109932,109932,en,ja
109933,109933,en,ja
109934,109934,en,ja
109935,109935,en,ja
109936,109936,en,ja
109937,109937,en,ja
109938,109938,en,ja
109939,109939,en,ja
10994,10994,en,ja
109940,109940,en,ja
109941,109941,en,ja
109942,109942,en,ja
109943,109943,en,ja
109944,109944,en,ja
109945,109945,en,ja
109946,109946,en,ja
109947,109947,en,ja
109948,109948,en,ja
109949,109949,en,ja
10995,10995,en,ja
109950,109950,en,ja
109951,109951,en,ja
109952,109952,en,ja
109953,109953,en,ja
109954,109954,en,ja
109955,109955,en,ja
109956,109956,en,ja
109957,109957,en,ja
109958,109958,en,ja
109959,109959,en,ja
10996,10996,en,ja
109960,109960,en,ja
109961,109961,en,ja
109962,109962,en,ja
109963,109963,en,ja
109964,109964,en,ja
109965,109965,en,ja
109966,109966,en,ja
109967,109967,en,ja
109968,109968,en,ja
109969,109969,en,ja
10997,10997,en,ja
109970,109970,en,ja
109971,109971,en,ja
109972,109972,en,ja
109973,109973,en,ja
109974,109974,en,ja
109975,109975,en,ja
109976,109976,en,ja
109977,109977,en,ja
109978,109978,en,ja
109979,109979,en,ja
10998,10998,en,ja
109980,109980,en,ja
109981,109981,en,ja
109982,109982,en,ja
109983,109983,en,ja
109984,109984,en,ja
109985,109985,en,ja
109986,109986,en,ja
109987,109987,en,ja
109988,109988,en,ja
109989,109989,en,ja
10999,10999,en,ja
109990,109990,en,ja
109991,109991,en,ja
109992,109992,en,ja
109993,109993,en,ja
109994,109994,en,ja
109995,109995,en,ja
109996,109996,en,ja
109997,109997,en,ja
109998,109998,en,ja
109999,109999,en,ja
10:00,10時0分,en,ja
10:15,10時15分,en,ja
10:30,10時30分,en,ja
10:45,10時45分,en,ja
11,11,en,ja
11/1,11月1日,en,ja
11/10,11月10日,en,ja
11/11,11月11日,en,ja
11/12,11月12日,en,ja
11/13,11月13日,en,ja
11/14,11月14日,en,ja
11/15,11月15日,en,ja
11/16,11月16日,en,ja
11/17,11月17日,en,ja
11/18,11月18日,en,ja
11/19,11月19日,en,ja
11/2,11月2日,en,ja
11/20,11月20日,en,ja
11/21,11月21日,en,ja
11/22,11月22日,en,ja
11/23,11月23日,en,ja
11/24,11月24日,en,ja
11/25,11月25日,en,ja
11/26,11月26日,en,ja
11/27,11月27日,en,ja
11/28,11月28日,en,ja
11/29,11月29日,en,ja
11/3,11月3日,en,ja
11/30,11月30日,en,ja
11/31,11月31日,en,ja
11/4,11月4日,en,ja
11/5,11月5日,en,ja
11/6,11月6日,en,ja
11/7,11月7日,en,ja
11/8,11月8日,en,ja
11/9,11月9日,en,ja
110,110,en,ja
1100,1100,en,ja
11000,11000,en,ja
110000,110000,en,ja
110001,110001,en,ja
110002,110002,en,ja
110003,110003,en,ja
110004,110004,en,ja
110005,110005,en,ja
110006,110006,en,ja
110007,110007,en,ja
110008,110008,en,ja
110009,110009,en,ja
11001,11001,en,ja
110010,110010,en,ja
110011,110011,en,ja
110012,110012,en,ja
110013,110013,en,ja
110014,110014,en,ja
110015,110015,en,ja
110016,110016,en,ja
110017,110017,en,ja
110018,110018,en,ja
110019,110019,en,ja
11002,11002,en,ja
110020,110020,en,ja
110021,110021,en,ja
110022,110022,en,ja
110023,110023,en,ja
110024,110024,en,ja
110025,110025,en,ja
110026,110026,en,ja
110027,110027,en,ja
110028,110028,en,ja
110029,110029,en,ja
11003,11003,en,ja
110030,110030,en,ja
110031,110031,en,ja
110032,110032,en,ja
110033,110033,en,ja
110034,110034,en,ja
110035,110035,en,ja
110036,110036,en,ja
110037,110037,en,ja
110038,110038,en,ja
110039,110039,en,ja
11004,11004,en,ja
110040,110040,en,ja
110041,110041,en,ja
110042,110042,en,ja
110043,110043,en,ja
110044,110044,en,ja
110045,110045,en,ja
110046,110046,en,ja
110047,110047,en,ja
110048,110048,en,ja
110049,110049,en,ja
11005,11005,en,ja
110050,110050,en,ja
110051,110051,en,ja
110052,110052,en,ja
110053,110053,en,ja
110054,110054,en,ja
110055,110055,en,ja
110056,110056,en,ja
110057,110057,en,ja
110058,110058,en,ja
110059,110059,en,ja
11006,11006,en,ja
110060,110060,en,ja
110061,110061,en,ja
110062,110062,en,ja
110063,110063,en,ja
110064,110064,en,ja
110065,110065,en,ja
110066,110066,en,ja
110067,110067,en,ja
110068,110068,en,ja
110069,110069,en,ja
11007,11007,en,ja
110070,110070,en,ja
110071,110071,en,ja
110072,110072,en,ja
110073,110073,en,ja
110074,110074,en,ja
110075,110075,en,ja
110076,110076,en,ja
110077,110077,en,ja
110078,110078,en,ja
110079,110079,en,ja
11008,11008,en,ja
110080,110080,en,ja
110081,110081,en,ja
110082,110082,en,ja
110083,110083,en,ja
110084,110084,en,ja
110085,110085,en,ja
110086,110086,en,ja
110087,110087,en,ja
110088,110088,en,ja
110089,110089,en,ja
11009,11009,en,ja
110090,110090,en,ja
110091,110091,en,ja
110092,110092,en,ja
110093,110093,en,ja
110094,110094,en,ja
110095,110095,en,ja
110096,110096,en,ja
110097,110097,en,ja
110098,110098,en,ja
110099,110099,en,ja
1101,1101,en,ja
11010,11010,en,ja
110100,110100,en,ja
110101,110101,en,ja
110102,110102,en,ja
110103,110103,en,ja
110104,110104,en,ja
110105,110105,en,ja
110106,110106,en,ja
110107,110107,en,ja
110108,110108,en,ja
110109,110109,en,ja
11011,11011,en,ja
110110,110110,en,ja
110111,110111,en,ja
110112,110112,en,ja
110113,110113,en,ja
110114,110114,en,ja
110115,110115,en,ja
110116,110116,en,ja
110117,110117,en,ja
110118,110118,en,ja
110119,110119,en,ja
11012,11012,en,ja
110120,110120,en,ja
110121,110121,en,ja
110122,110122,en,ja
110123,110123,en,ja
110124,110124,en,ja
110125,110125,en,ja
110126,110126,en,ja
110127,110127,en,ja
110128,110128,en,ja
110129,110129,en,ja
11013,11013,en,ja
110130,110130,en,ja
110131,110131,en,ja
110132,110132,en,ja
110133,110133,en,ja
110134,110134,en,ja
110135,110135,en,ja
110136,110136,en,ja
110137,110137,en,ja
110138,110138,en,ja
110139,110139,en,ja
11014,11014,en,ja
110140,110140,en,ja
110141,110141,en,ja
110142,110142,en,ja
110143,110143,en,ja
110144,110144,en,ja
110145,110145,en,ja
110146,110146,en,ja
110147,110147,en,ja
110148,110148,en,ja
110149,110149,en,ja
11015,11015,en,ja
110150,110150,en,ja
110151,110151,en,ja
110152,110152,en,ja
110153,110153,en,ja
110154,110154,en,ja
110155,110155,en,ja
110156,110156,en,ja
110157,110157,en,ja
110158,110158,en,ja
110159,110159,en,ja
11016,11016,en,ja
110160,110160,en,ja
110161,110161,en,ja
110162,110162,en,ja
110163,110163,en,ja
110164,110164,en,ja
110165,110165,en,ja
110166,110166,en,ja
110167,110167,en,ja
110168,110168,en,ja
110169,110169,en,ja
11017,11017,en,ja
110170,110170,en,ja
110171,110171,en,ja
110172,110172,en,ja
110173,110173,en,ja
110174,110174,en,ja
110175,110175,en,ja
110176,110176,en,ja
110177,110177,en,ja
110178,110178,en,ja
110179,110179,en,ja
11018,11018,en,ja
110180,110180,en,ja
110181,110181,en,ja
110182,110182,en,ja
110183,110183,en,ja
110184,110184,en,ja
110185,110185,en,ja
110186,110186,en,ja
110187,110187,en,ja
110188,110188,en,ja
110189,110189,en,ja
11019,11019,en,ja
110190,110190,en,ja
110191,110191,en,ja
110192,110192,en,ja
110193,110193,en,ja
110194,110194,en,ja
110195,110195,en,ja
110196,110196,en,ja
110197,110197,en,ja
110198,110198,en,ja
110199,110199,en,ja
1102,1102,en,ja
11020,11020,en,ja
110200,110200,en,ja
110201,110201,en,ja
110202,110202,en,ja
110203,110203,en,ja
110204,110204,en,ja
110205,110205,en,ja
110206,110206,en,ja
110207,110207,en,ja
110208,110208,en,ja
110209,110209,en,ja
11021,11021,en,ja
110210,110210,en,ja
110211,110211,en,ja
110212,110212,en,ja
110213,110213,en,ja
110214,110214,en,ja
110215,110215,en,ja
110216,110216,en,ja
110217,110217,en,ja
110218,110218,en,ja
110219,110219,en,ja
11022,11022,en,ja
110220,110220,en,ja
110221,110221,en,ja
110222,110222,en,ja
110223,110223,en,ja
110224,110224,en,ja
110225,110225,en,ja
110226,110226,en,ja
110227,110227,en,ja
110228,110228,en,ja
110229,110229,en,ja
11023,11023,en,ja
110230,110230,en,ja
110231,110231,en,ja
110232,110232,en,ja
110233,110233,en,ja
110234,110234,en,ja
110235,110235,en,ja
110236,110236,en,ja
110237,110237,en,ja
110238,110238,en,ja
110239,110239,en,ja
11024,11024,en,ja
110240,110240,en,ja
110241,110241,en,ja
110242,110242,en,ja
110243,110243,en,ja
110244,110244,en,ja
110245,110245,en,ja
110246,110246,en,ja
110247,110247,en,ja
110248,110248,en,ja
110249,110249,en,ja
11025,11025,en,ja
110250,110250,en,ja
110251,110251,en,ja
110252,110252,en,ja
110253,110253,en,ja
110254,110254,en,ja
110255,110255,en,ja
110256,110256,en,ja
110257,110257,en,ja
110258,110258,en,ja
110259,110259,en,ja
11026,11026,en,ja
110260,110260,en,ja
110261,110261,en,ja
110262,110262,en,ja
110263,110263,en,ja
110264,110264,en,ja
110265,110265,en,ja
110266,110266,en,ja
110267,110267,en,ja
110268,110268,en,ja
110269,110269,en,ja
11027,11027,en,ja
110270,110270,en,ja
110271,110271,en,ja
110272,110272,en,ja
110273,110273,en,ja
110274,110274,en,ja
110275,110275,en,ja
110276,110276,en,ja
110277,110277,en,ja
110278,110278,en,ja
110279,110279,en,ja
11028,11028,en,ja
110280,110280,en,ja
110281,110281,en,ja
110282,110282,en,ja
110283,110283,en,ja
110284,110284,en,ja
110285,110285,en,ja
110286,110286,en,ja
110287,110287,en,ja
110288,110288,en,ja
110289,110289,en,ja
11029,11029,en,ja
110290,110290,en,ja
110291,110291,en,ja
110292,110292,en,ja
110293,110293,en,ja
110294,110294,en,ja
110295,110295,en,ja
110296,110296,en,ja
110297,110297,en,ja
110298,110298,en,ja
110299,110299,en,ja
1103,1103,en,ja
11030,11030,en,ja
110300,110300,en,ja
110301,110301,en,ja
110302,110302,en,ja
110303,110303,en,ja
110304,110304,en,ja
110305,110305,en,ja
110306,110306,en,ja
110307,110307,en,ja
110308,110308,en,ja
110309,110309,en,ja
11031,11031,en,ja
110310,110310,en,ja
110311,110311,en,ja
110312,110312,en,ja
110313,110313,en,ja
110314,110314,en,ja
110315,110315,en,ja
110316,110316,en,ja
110317,110317,en,ja
110318,110318,en,ja
110319,110319,en,ja
11032,11032,en,ja
110320,110320,en,ja
110321,110321,en,ja
110322,110322,en,ja
110323,110323,en,ja
110324,110324,en,ja
110325,110325,en,ja
110326,110326,en,ja
110327,110327,en,ja
110328,110328,en,ja
110329,110329,en,ja
11033,11033,en,ja
110330,110330,en,ja
110331,110331,en,ja
110332,110332,en,ja
110333,110333,en,ja
110334,110334,en,ja
110335,110335,en,ja
110336,110336,en,ja
110337,110337,en,ja
110338,110338,en,ja
110339,110339,en,ja
11034,11034,en,ja
110340,110340,en,ja
110341,110341,en,ja
110342,110342,en,ja
110343,110343,en,ja
110344,110344,en,ja
110345,110345,en,ja
110346,110346,en,ja
110347,110347,en,ja
110348,110348,en,ja
110349,110349,en,ja
11035,11035,en,ja
110350,110350,en,ja
110351,110351,en,ja
110352,110352,en,ja
110353,110353,en,ja
110354,110354,en,ja
110355,110355,en,ja
110356,110356,en,ja
110357,110357,en,ja
110358,110358,en,ja
110359,110359,en,ja
11036,11036,en,ja
110360,110360,en,ja
110361,110361,en,ja
110362,110362,en,ja
110363,110363,en,ja
110364,110364,en,ja
110365,110365,en,ja
110366,110366,en,ja
110367,110367,en,ja
110368,110368,en,ja
110369,110369,en,ja
11037,11037,en,ja
110370,110370,en,ja
110371,110371,en,ja
110372,110372,en,ja
110373,110373,en,ja
110374,110374,en,ja
110375,110375,en,ja
110376,110376,en,ja
110377,110377,en,ja
110378,110378,en,ja
110379,110379,en,ja
11038,11038,en,ja
110380,110380,en,ja
110381,110381,en,ja
110382,110382,en,ja
110383,110383,en,ja
110384,110384,en,ja
110385,110385,en,ja
110386,110386,en,ja
110387,110387,en,ja
110388,110388,en,ja
110389,110389,en,ja
11039,11039,en,ja
110390,110390,en,ja
110391,110391,en,ja
110392,110392,en,ja
110393,110393,en,ja
110394,110394,en,ja
110395,110395,en,ja
110396,110396,en,ja
110397,110397,en,ja
110398,110398,en,ja
110399,110399,en,ja
1104,1104,en,ja
